id	amd_status	amd_equivalent	confidence	openness	amd_fit	eco_leverage	evidence_strength	gap_title	affected	amd_action	evidence
C296	none	AMD JAX/XLA on ROCm is a co-architect position	med	3	2	3	2	Differentiable physics is incomplete on every backend including CUDA — an open architectural question, not a port	robot learning researchers needing analytic gradients	Approach DeepMind researchers for co-authorship on the ROCm/XLA differentiable path — this is co-architecture, not catch-up	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-7
C297	none	Kenning and vla.cpp each miss 2+ criteria	high	3	3	3	3	No SDK combines ROS 2 integration, INT8, VLA support, GGUF and low latency	anyone deploying VLA policies outside the NVIDIA stack	One ROCm EP for vla.cpp plus one Kenning VLA backend assembles the alternative	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-12
C298	none	-	high	3	3	3	3	No single recommended AMD inference execution path; guidance is fragmented across EPs	developers choosing how to deploy a model on AMD	Publish the decision tree — a documentation action that unblocks several dependent efforts	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-16
C299	none	Vitis AI DPU is CNN-only; Ryzen AI ONNX RT VOE is the tractable path	high	3	3	2	2	No open ML compiler reaches AMD embedded NPU/AI-engine tiles; MLC-LLM does not deploy to Kria/Versal	embedded robotics teams on AMD NPU silicon	Prioritize an ONNX RT VOE reference path for Ryzen AI NPU over a full TVM/Versal AIE bridge	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-11
C300	none	-	high	3	3	3	3	AMD edge hardware (Ryzen AI X100, Kria) shipped into a nearly empty SDK layer, unlike Jetson's day-one maturity	every design win evaluating AMD edge silicon	Pick one flagship SDK component and ship it as a reference stack timed to hardware availability — umbrella for several other gaps	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-17
C301	none	KRS, REP 2008 and Xen are the building blocks; ROBOTCORE is a licensable blueprint	high	3	3	2	3	FPGA real-time control loop is not callable from ROS 2 or Python — last-mile packaging, not foundational engineering	robotics teams that would use FPGA determinism but will not write RTL	OEM ROBOTCORE as AMD's first-party FPGA robotics SDK layer	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-6
C302	none	TUV SUD design-flow cert covers FPGA fabric only	high	3	3	3	3	No functional-safety certification covers AMD AI-inference/XDNA tiles — only the deterministic fabric	anyone putting a learned policy on AMD silicon in a safety context	Scope extending the existing TUV SUD design-flow certification to Kria X100 AI-engine tiles — an extension, not a new program	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-19
C303	none	-	med	3	2	2	2	No accredited third-party AI-robotics inspection lab exists outside one vendor's own program	robot OEMs needing independent AI safety assessment	Partner with an accredited body rather than building the lab	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-20
C304	none	-	med	3	2	2	3	The humanoid safety standard is still at committee draft — participation window is open and uncontested	AMD's future certification obligations	Nominate a participant to ISO TC 299 now; cheapest and longest-horizon action in the register	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-21
C305	none	working ROCm code exists but is not surfaced	high	3	3	2	3	AMD has no presence on the model hub developers actually browse	developers choosing hardware at the moment of model selection	Publish model cards — documentation, not engineering	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-5
C306	none	-	high	3	3	3	3	No CI publishes prebuilt robot-policy wheels for AMD targets	developers who will not build from source	Reuse the vLLM CI playbook for LeRobot policies on gfx942/gfx1100	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-9
C307	none	Genesis World is ROCm-native; Cosmos 3 Nano community-confirmed on ROCm	high	2	3	2	3	No validated end-to-end AMD synthetic-data pipeline; components exist but orchestration is unowned	teams building sim-to-real data pipelines on AMD	Own and publish the end-to-end reference — an integration and authorship gap, not a components gap	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-4
C308	none	-	med	3	3	2	2	Robot fleet edge data center is an uncontested emerging category with no incumbent	robot fleets needing shared compute between edge and cloud	First-mover positioning while the category has no incumbent	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-10
C309	none	AMD CPU design wins exist (CX20x3, K4131-Px); zero GPU/NPU wins	high	3	3	2	3	Zero AMD GPU/NPU certified design wins in the Windows industrial IPC market; the technical barrier is already closed	industrial automation integrators on TwinCAT and SIMATIC	Pursue TwinCAT 3 ML and SIMATIC Edge GPU/NPU certification — commercial motion, not engineering	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-3
C310	none	-	med	3	2	2	2	No vendor-neutral teleop data-collection path; the dataset format is neutral but the tooling is not	teams collecting demonstrations without committing to one vendor	Publish a ROCm-native collection path	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-23
C311	none	MI300X 192GB HBM3 suits the memory-bound regime	med	3	3	2	2	No public non-NVIDIA VLA training case study exists; the training-cluster market defaults to DGX/HGX in every public writeup	buyers sizing VLA training infrastructure	Publish a VLA foundation model trained on an MI300X cluster as a case study	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-24
C312	none	rocRobo (embryonic)	med	3	3	3	2	No portable GPU motion planning library outside cuRobo	the whole non-NVIDIA manipulation ecosystem	Back rocRobo or a portable alternative; this is the capability-level view of the cuRobo gap	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-14
C313	native	AMD zero-copy ROS 2 transport already shipped	high	-	-	-	-	-	-	-	prior:internal — colleague team delivered the Isaac-ROS-equivalent transport layer
C314	none	-	med	3	2	2	2	No safety island paired with AMD AI compute in the way one vendor already ships	OEMs architecting mixed-criticality robot compute	Evaluate whether Versal deterministic fabric can be positioned as the safety island beside the AI tiles	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-19
C315	none	ROCm docs exist but are not robotics-facing	med	2	2	2	2	No robotics-specific AMD developer portal or forum surface	developers looking for a robotics entry point into AMD	Create a robotics landing surface rather than scattering content across ROCm docs	prior:flow_graph/robotics-ecosystem/gap_register.md#GAP-17
C001	partial	Ryzen AI Embedded X100 plus Kria AI SoM Robotics Developer Platform	med	1	3	3	2	No single shipping robot-brain SoC with an integrated safety island at Thor class	Humanoid and AMR OEMs choosing a 2026 compute platform	Publish X100 plus Kria FuSa roadmap and firm dev-kit GA dates against Thor	https://www.cnx-software.com/2026/07/24/amd-launches-ryzen-ai-embedded-x100-processors-kria-ai-som-and-physical-ai-robotics-developer-platform/
C002	partial	Ubuntu plus ROCm on X100 and PetaLinux/Yocto on Kria	med	3	2	3	2	No unified robotics BSP bundling RT preempt kernel secure boot and OTA in one supported image	Robot integrators who must assemble kernel security and update stack themselves	Ship one versioned robotics BSP image for X100 plus Kria with RT kernel and OTA	https://www.cnx-software.com/2022/05/18/349-amd-kria-kr260-robotics-starter-kit-takes-on-nvidia-jetson-agx-xavier-devkit/
C003	partial	Kria FPGA paired with X100 in the AMD Robotics Developer Platform	low	2	3	2	1	No documented FPGA-to-GPU-memory direct sensor ingest path equivalent to Holoscan Sensor Bridge	Multi-camera and lidar rigs needing deterministic low-latency ingest	Document and benchmark a Kria PL to Radeon iGPU zero-copy sensor ingest reference design	https://www.cnx-software.com/2026/07/24/amd-launches-ryzen-ai-embedded-x100-processors-kria-ai-som-and-physical-ai-robotics-developer-platform/
C004	n/a	-	high	-	-	-	-	-	-	-	https://nvidia-isaac-ros.github.io/repositories_and_packages/index.html
C005	n/a	-	high	-	-	-	-	-	-	-	https://github.com/orgs/NVIDIA-ISAAC-ROS/repositories?type=all
C006	none	-	med	2	2	3	2	No AMD-validated humanoid whole-body control library or reference policy stack	Humanoid developers evaluating ROCm as the training and deployment target	Validate one open WBC stack end to end on ROCm and publish the recipe and rates	https://developer.nvidia.com/isaac/gr00t
C007	native	ROCm and HIP	high	-	-	-	-	-	-	-	https://en.wikipedia.org/wiki/ROCm
C008	native	MIOpen	high	-	-	-	-	-	-	-	https://en.wikipedia.org/wiki/ROCm
C009	partial	MIGraphX plus ONNX Runtime MIGraphX and Vitis AI execution providers	high	3	3	3	3	No single edge inference optimizer spanning Ryzen AI NPU Radeon iGPU and Kria FPGA	Robot perception teams forced to maintain three separate compile paths	Unify NPU iGPU and FPGA behind one ONNX Runtime edge profile with published latency	https://onnxruntime.ai/docs/execution-providers/MIGraphX-ExecutionProvider.html
C010	partial	Lemonade Server plus llama.cpp and MLC-LLM on ROCm and Ryzen AI	med	3	3	3	2	No AMD-supported C++ edge VLM runtime targeted at closed-loop robot control rates	VLA and VLM policy developers needing bounded per-step latency on embedded AMD parts	Turn Lemonade into a supported C++ embeddable runtime with robot-loop latency SLAs	https://rocm.blogs.amd.com/blog/author.html
C011	partial	Triton Inference Server with vLLM and ONNX Runtime backends on ROCm	med	2	3	2	3	Multi-framework serving on AMD is datacenter-only with no embedded robot target	Fleet and edge serving teams deploying models onto robot compute	Publish a Triton or vLLM serving image validated on X100 and Kria class hardware	https://rocm.blogs.amd.com/blog/2025.html
C012	native	AMD ROS 2 Perception Node with upstream ROS 2 type adaptation on ROCm	med	-	-	-	-	-	-	-	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C013	none	-	low	2	2	2	1	No cross-process or cross-container GPU-memory handle bridge for non-accelerated ROS 2 nodes	Teams mixing legacy ROS 2 nodes with accelerated AMD nodes across containers	Prototype a DMA-BUF handle bridge node so unaccelerated nodes avoid host copies	https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_nitros
C014	none	-	med	2	2	1	3	No AMD accelerated component-graph runtime though NVIDIA is itself sun-setting GXF	Few - GXF is being removed from NITROS so downstream exposure is shrinking	Do not chase GXF - invest the effort in ROS 2 type adaptation instead	https://nvidia-isaac-ros.github.io/releases/index.html
C015	partial	AMD ROS 2 Perception Node accelerated application	med	3	3	3	2	No published family of ROS 2 inference nodes binding MIGraphX and Vitis AI with perf numbers	ROS 2 developers who need a drop-in accelerated inference node on AMD	Release ROS 2 inference nodes over ONNX Runtime EPs with a published benchmark table	https://www.crn.com/news/ai/2026/amd-advancing-ai-2026-top-news-on-ai-chips-cpus-robotics
C016	partial	Kria accelerated apps and Vitis Vision Library on PL	low	3	3	3	1	No ROCm-accelerated ROS 2 image preprocessing pipeline for rectify resize and color convert	Every camera-based ROS 2 stack on AMD falls back to CPU image_proc	Port image_proc rectify and resize to ROCm and publish per-node frame rates	https://www.cnx-software.com/2022/05/18/349-amd-kria-kr260-robotics-starter-kit-takes-on-nvidia-jetson-agx-xavier-devkit/
C017	partial	Kria MIPI CSI capture via PL with V4L2 and libcamera on KR260 and KV260	low	3	2	2	1	No first-party ROS 2 CSI camera driver publishing directly into an accelerated buffer	Robot builders wiring MIPI sensors into ROS 2 on Kria or X100	Ship a supported ROS 2 CSI driver node for the Kria robotics platform	https://www.cnx-software.com/2022/05/18/349-amd-kria-kr260-robotics-starter-kit-takes-on-nvidia-jetson-agx-xavier-devkit/
C018	none	-	low	1	2	1	1	No safety-certified automotive camera capture stack equivalent to SIPL	Automotive and safety-rated robot camera integrators	Scope whether Kria PL capture can be taken through a FuSa camera claim	https://github.com/orgs/NVIDIA-ISAAC-ROS/repositories?type=all
C019	none	-	low	3	3	2	1	No GPU or FPGA accelerated AprilTag fiducial detector on AMD - only CPU apriltag_ros	Warehouse docking calibration and marker-based localization users	Port AprilTag detection to HIP and publish fps versus the CPU baseline	https://developer.nvidia.com/isaac/ros
C020	community	ORB-SLAM3 and RTAB-Map running CPU-side on AMD hosts	low	3	3	3	1	No GPU-accelerated visual-inertial odometry or SLAM on ROCm	Mobile robots and drones needing high-rate odometry without a CPU budget blowout	Accelerate one open VIO front end on ROCm and publish accuracy and rate against cuVSLAM	https://developer.nvidia.com/isaac/ros
C021	none	-	high	1	3	3	3	No GPU-accelerated visual SLAM library on ROCm or Ryzen AI	AMR and drone teams needing metric VO/VSLAM on AMD edge silicon	Fund a HIP/ROCm port or ROCm-optimized build of an open VSLAM core and publish a ROS 2 wrapper	https://developer.nvidia.com/isaac/ros
C022	none	-	high	2	3	3	3	No GPU TSDF/ESDF volumetric reconstruction library with a ROCm backend	Navigation and manipulation stacks needing dense 3D costmaps on AMD	Port the Apache-2.0 nvblox core kernels to HIP and land a ROCm CI job	https://github.com/nvidia-isaac/nvblox
C023	none	-	med	2	3	3	2	No ROS 2 node publishing GPU-reconstructed 3D costmaps into Nav2 on AMD	Nav2 users on Kria/Ryzen AI who want 3D obstacle avoidance	After a HIP TSDF core exists wrap it as a Nav2 costmap layer plugin	https://developer.nvidia.com/isaac/ros
C024	partial	AMD ROS 2 Perception Node plus MIGraphX/Vitis AI ONNX inference	med	2	3	3	2	No packaged learned stereo disparity ROS 2 node tuned for AMD iGPU or NPU	Stereo-camera robots on Kria and Ryzen AI Embedded	Ship a reference stereo disparity ONNX pipeline in the Robotics Software Suite with published Hz numbers	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C025	none	-	med	1	2	1	2	No depth-based obstacle field segmentation node on AMD	Teams replicating Bi3D-style binary depth obstacle detection	Deprioritize; cover via generic depth plus segmentation pipeline instead of a dedicated node	https://developer.nvidia.com/isaac/ros
C026	partial	AMD ROS 2 Perception Node accelerated application on ROCm/Vitis AI	med	3	3	3	2	No AMD-maintained catalog of ROS 2 semantic segmentation nodes with benchmarked models	Perception engineers porting segmentation pipelines off Isaac ROS	Publish segmentation model zoo entries with MIGraphX and Ryzen AI latency tables in the Robotics Software Suite	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C027	none	-	low	2	2	1	2	No freespace/ground-plane segmentation package for navigation on AMD	AMR navigation teams wanting learned drivable-space masks	Low priority; add as a model variant once the segmentation node catalog exists	https://developer.nvidia.com/isaac/ros
C028	partial	AMD ROS 2 Perception Node plus MIGraphX and Ryzen AI ONNX execution providers	high	3	3	3	3	No first-party ROS 2 detection nodes with AMD-published accuracy and throughput for YOLO/RT-DETR	Every robot doing 2D detection that is evaluating AMD vs Jetson	Publish a supported isaac_ros_object_detection-equivalent ROS 2 package with per-SKU benchmark numbers	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C029	none	-	med	2	2	3	2	No 6D object pose estimation path on AMD; FoundationPose and CenterPose are CUDA-bound	Bin-picking and manipulation teams evaluating AMD for grasping	Port one open 6D pose model (FoundationPose or MegaPose) to ROCm/MIGraphX and publish a demo	https://developer.nvidia.com/isaac/ros
C030	none	-	low	2	2	2	1	No GPU-accelerated global map-based relocalization package on AMD	Fleet AMRs needing repeatable localization against a prior map	Validate an open CPU relocalizer (AMCL/lidar) on Kria first and document the accuracy gap	https://developer.nvidia.com/isaac/ros
C031	none	-	med	1	3	2	2	No structure-from-motion mapping and visual relocalization stack on AMD silicon	Teams building persistent visual maps for multi-session operation	Bundle an open SfM (COLMAP/hloc) ROCm build as a mapping reference in the Robotics Software Suite	https://developer.nvidia.com/isaac/ros
C032	partial	AMD Advanced Media Framework and VA-API hardware H.264/HEVC/AV1 encode-decode	med	3	2	2	3	Hardware video codec exists on AMD but no ROS 2 encode/decode nodes wrapping it	Robots streaming or recording multi-camera rigs over constrained links	Wrap AMF/VA-API in ROS 2 image_transport encoder and decoder nodes and upstream them	https://github.com/GPUOpen-LibrariesAndSDKs/AMF
C033	partial	ROS 2 plus MoveIt on ROCm named as supported in Kria AI Robotics Developer Platform	med	3	3	3	3	No end-to-end GPU-accelerated manipulation reference workflow bringup on AMD	Arm and cobot integrators wanting a working pick-place stack out of the box	Publish a MoveIt plus perception plus grasp reference bringup for a common arm on the Kria dev platform	https://newsroom.amd.com/news/aai-2026-kria-robotics-dev-platform/
C034	partial	AMD Robotics Software Suite and Kria AI Robotics Developer Platform, sampling with GA in Q4 2026	med	2	3	3	3	No shipping AMR perception reference workflow; the AMD equivalent is announced but not yet generally available	AMR OEMs choosing a compute platform before Q4 2026	Release an early-access AMR perception reference pipeline with the Nav2 integration already benchmarked by OpenNav	https://newsroom.amd.com/news/aai-2026-kria-robotics-dev-platform/
C035	none	-	med	2	3	2	2	No humanoid teleoperation and whole-body-control bringup package on AMD	Humanoid teams needing a teleop-to-policy data collection loop on AMD hardware	Fund a LeRobot-style teleop plus WBC reference on a public humanoid using ROCm	https://developer.nvidia.com/isaac/ros
C036	partial	ONNX Runtime MIGraphX and Vitis AI execution providers for policy inference	med	3	3	3	2	No ROS 2 runtime that deploys trained RL/IL policies onto real robots on AMD	Sim-to-real teams moving learned policies to AMD edge compute	Ship a policy-serving ROS 2 node with ONNX/MIGraphX backend and documented control-loop latency	https://onnxruntime.ai/docs/execution-providers/MIGraphX-ExecutionProvider.html
C037	partial	Kria AI robotics carrier card plus sensor and perception partners in the AMD Robotics Partner Network	med	2	2	2	2	No validated reference sensor suite with time-synchronized multi-camera drivers and calibration on AMD	Integrators assembling camera/IMU/lidar rigs without a known-good reference	Publish a validated sensor bill-of-materials with drivers, sync and calibration tooling for the Kria carrier card	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C038	none	-	med	2	2	2	3	No AMD reference AMR robot platform packages; the Kria dev platform is a compute board not a whole-robot reference	Developers who want a Nova-Carter-class turnkey robot to benchmark against	Partner with one ODM in the Robotics Partner Network on an open reference AMR with published URDF and bringup	https://newsroom.amd.com/news/aai-2026-kria-robotics-dev-platform/
C039	n/a	-	-	-	-	-	-	-	-	-	https://nvidia-isaac-ros.github.io/repositories_and_packages/index.html
C040	partial	AMD Robotics Software Suite built on ROCm and ROS 2, plus ROCm and Kria dev containers	med	2	2	3	2	No published common ROS 2 build, dev-container and CI test harness for AMD targets	Anyone trying to reproduce an AMD robotics build across Kria, Ryzen AI and Instinct	Open-source the Robotics Software Suite dev container and a ROS 2 CI template for AMD targets	https://newsroom.amd.com/news/aai-2026-kria-robotics-dev-platform/
C041	partial	LeRobot leader-follower teleoperation validated on ROCm (AMD ROCm blog), no XR or ROS 2 teleop packages	med	3	2	3	3	No XR/VR demonstration-capture teleoperation stack wired into ROS 2 on AMD	Teams collecting manipulation demonstration data on AMD GPUs and Kria boards	Publish an OpenXR-to-ROS 2 teleop package on top of the already-working LeRobot ROCm teleop path	https://rocm.blogs.amd.com/artificial-intelligence/rocm-blogsblogsartificial-in/README.html
C042	partial	AMD ROS 2 Perception Node accelerated application plus AMD Robotics Software Suite on ROCm and ROS 2	med	3	3	3	3	No low-latency sensor-to-inference streaming graph framework with zero-copy or RDMA sensor bridge equivalent	Medical imaging, industrial inspection and sensor-streaming ISVs on AMD embedded silicon	Extend the Robotics Software Suite with a documented zero-copy sensor ingest graph API on Versal and Kria	https://newsroom.amd.com/news/aai-2026-kria-robotics-dev-platform/
C043	partial	rocDecode and rocJPEG expose VCN hardware decode with VA-API and HIP interop, decode only	high	3	3	2	3	No AMD-accelerated GStreamer plugin suite or video analytics pipeline SDK layered above raw decode	Multi-camera video analytics and robot vision application builders on Radeon and Instinct	Ship a supported set of ROCm GStreamer elements chaining decode, inference and tracking as a reference pipeline	https://rocm.docs.amd.com/projects/rocDecode/en/latest/index.html
C044	partial	AMD Kria AI Robotics Developer Platform and Robotics Software Suite provide ROS 2 board support	med	3	3	2	3	No ROS 2 utility and telemetry packages exposing power, thermal, NPU and iGPU load on AMD embedded SoCs	Kria and Ryzen AI Embedded robot integrators doing field diagnostics and thermal budgeting	Publish a rocm-smi and XRT backed ROS 2 diagnostics node inside the Robotics Software Suite	https://newsroom.amd.com/news/aai-2026-kria-robotics-dev-platform/
C046	community	MuJoCo MJX-JAX runs on AMD GPUs via XLA, plus Gazebo, neither maintained by AMD	high	3	3	3	3	No AMD-backed GPU-resident massively parallel RL and IL environment framework	Reinforcement and imitation learning researchers wanting thousands of parallel envs on Instinct HBM	Fund and CI-validate MJX-JAX on ROCm and publish a parallel-environment RL training reference	https://mujoco.readthedocs.io/en/stable/mjx.html
C047	none	-	med	2	2	2	2	No composable simulation-based policy evaluation harness usable on AMD	Teams needing reproducible VLA policy regression scoring before deployment	Adapt an open evaluation harness to LeRobot plus MuJoCo on ROCm and publish it as a reference	https://newsroom.amd.com/news/aai-2026-robotics-partner-network/
C049	community	MuJoCo and MJX-JAX on ROCm and Bullet on CPU; Newton and MJWarp are NVIDIA Warp and CUDA only	high	3	3	3	3	No GPU-resident rigid body and articulation solver maintained on ROCm, the open Newton engine depends on NVIDIA Warp	Every simulator and RL stack that needs GPU physics on Instinct or Radeon	Contribute a HIP or Triton solver backend to Newton, or port Warp kernels, to break the CUDA dependency	https://www.linuxjournal.com/content/linux-foundation-welcomes-newton-next-open-physics-engine-robotics
C054	none	Nav2 CPU route planning only; no ROCm sparse waypoint graph generator	med	3	2	1	3	SWAGGER mandates CUDA 12.5 so occupancy-grid waypoint graph generation has no AMD GPU path	AMR and warehouse fleet route planning teams standardizing on AMD compute	Port the SWAGGER graph kernels to HIP or contribute a CPU and ROCm backend upstream	https://github.com/nvidia-isaac/SWAGGER
